date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:55	41/41	---M--	200	added ('OK')	text/plain	etag:%2205bc607fcef0a1ae96db9b9c9fa7b557%22	https://fast.com/robots.txt		(from )
12:08:55	25888/25888	---M-Z	200	added ('OK')	text/html	etag:%22352f4caf1351eafc830392c799557c5b%22	https://fast.com/	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/index.html	(from )
12:08:56	13563/13563	---M-Z	200	added ('OK')	text/css	etag:%22f97d845a4288e08d7fcfc818af8e582a%22	https://fast.com/app-07ba96.css	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/app-07ba96.css	(from https://fast.com/)
12:08:56	26222/26222	---M-Z	200	added ('OK')	text/html	etag:%229a1236e28152e574f358aae52a6912f7%22	https://fast.com/id/	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/id/index.html	(from https://fast.com/)
12:08:56	1414/1414	---M-Z	200	added ('OK')	text/css	etag:%225543effd746b8ecab2c73c7e0773131b%22	https://fast.com/assets/fonts/oc-webfont.min.css	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/assets/fonts/oc-webfont.min.css	(from https://fast.com/)
12:08:56	7754/7754	---M--	200	added ('OK')	image/png	etag:%221a79741a76a9c2d304be3312c78f72bc%22	https://fast.com/assets/favicons/favicon-96x96.png	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/assets/favicons/favicon-96x96.png	(from https://fast.com/)
12:08:56	4357/4357	---M--	200	added ('OK')	image/png	etag:%22ccb2313d3c588cbe1af41db555afc22a%22	https://fast.com/assets/favicons/apple-icon-57x57.png	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/assets/favicons/apple-icon-57x57.png	(from https://fast.com/)
12:08:57	4567/4567	---M--	200	added ('OK')	image/png	etag:%22b8c216e74350380acfb360905a2f99a7%22	https://fast.com/assets/favicons/apple-icon-60x60.png	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/assets/favicons/apple-icon-60x60.png	(from https://fast.com/)
12:08:57	5652/5652	---M--	200	added ('OK')	image/png	etag:%225c26853f4e933f17167137dd5f37d703%22	https://fast.com/assets/favicons/apple-icon-72x72.png	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/assets/favicons/apple-icon-72x72.png	(from https://fast.com/)
12:08:57	6000/6000	---M--	200	added ('OK')	image/png	etag:%223bfa3041925f8e1a67b9cdf0ad9c625e%22	https://fast.com/assets/favicons/apple-icon-76x76.png	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/assets/favicons/apple-icon-76x76.png	(from https://fast.com/)
12:08:57	9412/9412	---M--	200	added ('OK')	image/png	etag:%2223a3c3bf49c2b64f37331b7121728a88%22	https://fast.com/assets/favicons/apple-icon-114x114.png	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/assets/favicons/apple-icon-114x114.png	(from https://fast.com/)
12:08:57	26096/26096	---M-Z	200	added ('OK')	text/html	etag:%225db967034d25d1c1efe26d2fcf5fc189%22	https://fast.com/da/	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/da/index.html	(from https://fast.com/)
12:08:57	9946/9946	---M--	200	added ('OK')	image/png	etag:%22d10a6c486ef18ccdd4c22fc13c0c8c3e%22	https://fast.com/assets/favicons/apple-icon-120x120.png	C:/Users/rohan.rustagi/OneDrive%20-%20Duck%20Creek%20Technologies%20LLC/Desktop/FAST/fast.com/assets/favicons/apple-icon-120x120.png	(from https://fast.com/)
